symbol,alias,is_ambiguous,source
BTC,比特币,false,seed
BTC,btc,false,seed
BTC,bitcoin,false,seed
BTC,大饼,true,seed
ETH,以太坊,false,seed
ETH,以太,false,seed
ETH,eth,false,seed
ETH,ethereum,false,seed
USDT,泰达币,false,seed
USDT,usdt,false,seed
USDC,usdc,false,seed
BNB,币安币,false,seed
BNB,bnb,false,seed
SOL,solana,false,seed
SOL,sol,true,seed
XRP,瑞波币,false,seed
XRP,xrp,false,seed
XRP,ripple,false,seed
DOGE,狗狗,false,seed
DOGE,狗狗币,false,seed
DOGE,doge,false,seed
DOGE,dogecoin,false,seed
TRX,波场,false,seed
TRX,trx,false,seed
TON,toncoin,false,seed
ADA,卡尔达诺,false,seed
ADA,ada,true,seed
AVAX,雪崩,true,seed
AVAX,avax,false,seed
SHIB,屎币,false,seed
SHIB,shib,false,seed
DOT,波卡,false,seed
DOT,polkadot,false,seed
LINK,chainlink,false,seed
LINK,link,true,seed
MATIC,polygon,false,seed
MATIC,matic,false,seed
LTC,莱特币,false,seed
LTC,ltc,false,seed
LTC,litecoin,false,seed
BCH,比特币现金,false,seed
BCH,bch,false,seed
UNI,uniswap,false,seed
UNI,uni,true,seed
ATOM,cosmos,false,seed
ATOM,atom,true,seed
XLM,stellar,false,seed
XLM,xlm,false,seed
NEAR,near,true,seed
APT,aptos,false,seed
APT,apt,true,seed
ARB,arbitrum,false,seed
ARB,arb,true,seed
OP,optimism,false,seed
SUI,sui,true,seed
PEPE,佩佩,true,seed
PEPE,pepe,true,seed
WIF,dogwifhat,false,seed
BONK,bonk,true,seed
FLOKI,floki,false,seed
ORDI,ordi,false,seed
SATS,sats,true,seed
INJ,injective,false,seed
INJ,inj,true,seed
TIA,celestia,false,seed
TIA,tia,true,seed
SEI,sei,true,seed
JUP,jupiter,true,seed
JTO,jito,false,seed
PYTH,pyth,false,seed
RNDR,render,true,seed
FET,fetch,true,seed
FIL,filecoin,false,seed
FIL,fil,true,seed
ICP,icp,false,seed
HBAR,hedera,false,seed
HBAR,hbar,false,seed
VET,vechain,false,seed
ALGO,algorand,false,seed
ALGO,algo,true,seed
GRT,graph,true,seed
AAVE,aave,false,seed
MKR,maker,true,seed
SAND,sandbox,true,seed
MANA,decentraland,false,seed
MANA,mana,true,seed
AXS,axie,false,seed
AXS,axs,false,seed
GALA,gala,true,seed
ENS,ens,true,seed
LDO,lido,false,seed
LDO,ldo,false,seed
CRV,curve,true,seed
SNX,synthetix,false,seed
SNX,snx,false,seed
COMP,compound,true,seed
DYDX,dydx,false,seed
GMX,gmx,false,seed
BLUR,blur,true,seed
RUNE,thorchain,false,seed
RUNE,rune,true,seed
KAS,kaspa,false,seed
KAS,kas,true,seed
MINA,mina,true,seed
ETC,以太经典,false,seed
ETC,etc,true,seed
XMR,门罗币,false,seed
XMR,monero,false,seed
ZEC,zcash,false,seed
DASH,dash,true,seed
EOS,eos,true,seed
NEO,neo,true,seed
QNT,quant,true,seed
STX,stacks,true,seed
FTM,fantom,false,seed
FTM,ftm,false,seed
EGLD,multiversx,false,seed
THETA,theta,true,seed
KCS,kucoin,false,seed
CRO,cronos,false,seed
CRO,cro,true,seed
OKB,okb,false,seed
HT,火币,true,seed
TUSD,tusd,false,seed
DAI,dai,true,seed
FDUSD,fdusd,false,seed
