symbol,name,sector,policy_rating,raw_total,final_score,rating,action,alert_level,overall_confidence,watermark,circuit_breakers_triggered,moat_score,moat_confidence,valuation_score,valuation_confidence,valuation_percentile,valuation_zone,valuation_metric,policy_score
000001,平安银行,银行,neutral,52.15,52.15,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],1,24.8,0.5,97.74,0.9,3.3884297520661155,strong_buy,PB,100.0
000002,万科A,房地产,neutral,60.0,60.0,Hold/Watch,等待拐点,green_pass,0.5,[数据部分缺失],0,60.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,60.0
000063,中兴通讯,科技,neutral,37.91,37.91,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,1.1,0.9,99.3388429752066,avoid,PE_TTM,100.0
000100,TCL科技,科技,neutral,68.62,68.62,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,82.98,0.9,29.357798165137616,accumulate,PE_TTM,100.0
000157,中联重科,机械设备,neutral,68.9,68.9,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,83.74,0.9,28.34710743801653,accumulate,PE_TTM,100.0
000166,申万宏源,证券,neutral,74.88,74.88,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,99.67,0.9,0.6611570247933884,strong_buy,PE_TTM,100.0
000301,东方盛虹,化工,neutral,58.9,58.9,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,57.06,0.9,61.52897657213317,hold,PE_TTM,100.0
000333,美的集团,家电,neutral,56.14,56.14,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,49.72,0.9,70.16528925619835,avoid,PE_TTM,100.0
000338,潍柴动力,汽车,neutral,37.55,37.55,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,0.14,0.9,99.91735537190083,avoid,PE_TTM,100.0
000408,藏格矿业,矿业,neutral,56.4,56.4,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,50.41,0.9,69.50413223140495,hold,PE_TTM,100.0
000425,徐工机械,机械设备,neutral,54.75,54.75,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,46.01,0.9,72.39669421487604,avoid,PE_TTM,100.0
000538,云南白药,医药,neutral,74.97,74.97,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,99.92,0.9,0.1652892561983471,strong_buy,PE_TTM,100.0
000568,泸州老窖,白酒,neutral,71.88,71.88,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,91.69,0.9,16.611570247933884,strong_buy,PE_TTM,100.0
000596,古井贡酒,白酒,neutral,68.62,68.62,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,83.0,0.9,29.338842975206614,accumulate,PE_TTM,100.0
000617,中油资本,石油化工,neutral,49.64,49.64,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,32.37,0.9,80.57851239669421,avoid,PE_TTM,100.0
000625,长安汽车,汽车,neutral,50.05,50.05,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,33.47,0.9,79.91735537190083,avoid,PE_TTM,100.0
000630,铜陵有色,有色金属,neutral,40.56,40.56,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,8.15,0.9,94.29752066115702,avoid,PB,100.0
000651,格力电器,家电,neutral,65.01,65.01,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,73.35,0.9,41.98347107438016,hold,PE_TTM,100.0
000661,长春高新,医药,neutral,60.0,60.0,Hold/Watch,等待拐点,green_pass,0.5,[数据部分缺失],0,60.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,100.0
000708,中信特钢,钢铁,neutral,64.18,64.18,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,71.14,0.9,44.62809917355372,hold,PE_TTM,100.0
