symbol,name,sector,policy_rating,raw_total,final_score,rating,action,alert_level,overall_confidence,watermark,circuit_breakers_triggered,moat_score,moat_confidence,valuation_score,valuation_confidence,valuation_percentile,valuation_zone,valuation_metric,policy_score
000001,平安银行,,neutral,43.55,43.55,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],1,24.8,0.5,74.79,0.9,40.247933884297524,hold,PE_TTM,100.0
000002,万科A,,neutral,0.0,0.0,Avoid,回避,soft_veto,0.5,[数据部分缺失],1,0.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,100.0
000063,中兴通讯,,neutral,0.41,0.41,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],3,0.0,0.5,1.1,0.9,99.3388429752066,avoid,PE_TTM,100.0
000100,TCL科技,,neutral,31.12,31.12,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],1,0.0,0.5,82.98,0.9,29.357798165137616,accumulate,PE_TTM,100.0
000157,中联重科,,neutral,31.4,31.4,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],1,0.0,0.5,83.74,0.9,28.34710743801653,accumulate,PE_TTM,100.0
000166,申万宏源,,neutral,37.38,37.38,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],1,0.0,0.5,99.67,0.9,0.6611570247933884,strong_buy,PE_TTM,100.0
000301,东方盛虹,,neutral,21.4,21.4,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],1,0.0,0.5,57.06,0.9,61.52897657213317,hold,PE_TTM,100.0
000333,美的集团,,neutral,18.64,18.64,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],2,0.0,0.5,49.72,0.9,70.16528925619835,avoid,PE_TTM,100.0
000338,潍柴动力,,neutral,0.05,0.05,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],3,0.0,0.5,0.14,0.9,99.91735537190083,avoid,PE_TTM,100.0
000408,藏格矿业,,neutral,18.9,18.9,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],1,0.0,0.5,50.41,0.9,69.50413223140495,hold,PE_TTM,100.0
000425,徐工机械,,neutral,17.25,17.25,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],2,0.0,0.5,46.01,0.9,72.39669421487604,avoid,PE_TTM,100.0
000538,云南白药,,neutral,37.47,37.47,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],1,0.0,0.5,99.92,0.9,0.1652892561983471,strong_buy,PE_TTM,100.0
000568,泸州老窖,,neutral,34.38,34.38,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],1,0.0,0.5,91.69,0.9,16.611570247933884,strong_buy,PE_TTM,100.0
000596,古井贡酒,,neutral,31.12,31.12,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],1,0.0,0.5,83.0,0.9,29.338842975206614,accumulate,PE_TTM,100.0
000617,中油资本,,neutral,12.14,12.14,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],2,0.0,0.5,32.37,0.9,80.57851239669421,avoid,PE_TTM,100.0
000625,长安汽车,,neutral,12.55,12.55,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],2,0.0,0.5,33.47,0.9,79.91735537190083,avoid,PE_TTM,100.0
000630,铜陵有色,,neutral,8.26,8.26,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],2,0.0,0.5,22.04,0.9,86.77685950413223,avoid,PE_TTM,100.0
000651,格力电器,,neutral,27.51,27.51,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],1,0.0,0.5,73.35,0.9,41.98347107438016,hold,PE_TTM,100.0
000661,长春高新,,neutral,0.0,0.0,Avoid,回避,soft_veto,0.5,[数据部分缺失],1,0.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,100.0
000708,中信特钢,,neutral,26.68,26.68,Avoid,回避,soft_veto,0.6499999999999999,[数据部分缺失],1,0.0,0.5,71.14,0.9,44.62809917355372,hold,PE_TTM,100.0
